"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","10","0","","0"
"0","","0","Homepage Functionality","1","0","Menampilkan menu navigasi dan kategori produk di halaman utama","0"
"0","","0","Add to Cart Functionality","1","0","Menambahkan produk ke keranjang","0"
"0","","0","Sign In Functionality","1","0","SignIn Account Creation","0"
"0","","0","Sign In Functionality","1","0","Login Tanpa Mengisi Username dan Password","0"
"0","","0","Add to Cart Functionality","1","0","Melakukan pemesanan","0"
